"Kommune";"Uddannelsestype";"Aar";"Frafaldsprocent";"Kommune_Order"
"Hele landet";"Gymnasiale uddannelser";2017;0,0354;1
"Hele landet";"Gymnasiale uddannelser";2018;0,0378;1
"Hele landet";"Gymnasiale uddannelser";2019;0,0373;1
"Hele landet";"Gymnasiale uddannelser";2020;0,0362;1
"Hele landet";"Gymnasiale uddannelser";2021;0,0348;1
"Hele landet";"Gymnasiale uddannelser";2022;0,0365;1
"Hele landet";"Gymnasiale uddannelser";2023;0,0366;1
"Hele landet";"Gymnasiale uddannelser";2024;0,0379;1
"Aarhus";"Gymnasiale uddannelser";2017;0,0427;2
"Aarhus";"Gymnasiale uddannelser";2018;0,0445;2
"Aarhus";"Gymnasiale uddannelser";2019;0,0455;2
"Aarhus";"Gymnasiale uddannelser";2020;0,0461;2
"Aarhus";"Gymnasiale uddannelser";2021;0,0441;2
"Aarhus";"Gymnasiale uddannelser";2022;0,045;2
"Aarhus";"Gymnasiale uddannelser";2023;0,0435;2
"Aarhus";"Gymnasiale uddannelser";2024;0,0472;2
"Odense";"Gymnasiale uddannelser";2017;0,0359;3
"Odense";"Gymnasiale uddannelser";2018;0,0367;3
"Odense";"Gymnasiale uddannelser";2019;0,033;3
"Odense";"Gymnasiale uddannelser";2020;0,0324;3
"Odense";"Gymnasiale uddannelser";2021;0,0339;3
"Odense";"Gymnasiale uddannelser";2022;0,0394;3
"Odense";"Gymnasiale uddannelser";2023;0,044;3
"Odense";"Gymnasiale uddannelser";2024;0,0465;3
"Aalborg";"Gymnasiale uddannelser";2017;0,035;4
"Aalborg";"Gymnasiale uddannelser";2018;0,0339;4
"Aalborg";"Gymnasiale uddannelser";2019;0,0326;4
"Aalborg";"Gymnasiale uddannelser";2020;0,0304;4
"Aalborg";"Gymnasiale uddannelser";2021;0,0309;4
"Aalborg";"Gymnasiale uddannelser";2022;0,0319;4
"Aalborg";"Gymnasiale uddannelser";2023;0,0321;4
"Aalborg";"Gymnasiale uddannelser";2024;0,0318;4
"Esbjerg";"Gymnasiale uddannelser";2017;0,0302;5
"Esbjerg";"Gymnasiale uddannelser";2018;0,0347;5
"Esbjerg";"Gymnasiale uddannelser";2019;0,0302;5
"Esbjerg";"Gymnasiale uddannelser";2020;0,0283;5
"Esbjerg";"Gymnasiale uddannelser";2021;0,027;5
"Esbjerg";"Gymnasiale uddannelser";2022;0,0306;5
"Esbjerg";"Gymnasiale uddannelser";2023;0,0305;5
"Esbjerg";"Gymnasiale uddannelser";2024;0,032;5
