"Kommune";"Uddannelsestype";"Aar";"Frafaldsprocent";"Kommune_Order"
"Hele landet";"Erhvervsfaglige uddannelser";2017;0,245;1
"Hele landet";"Erhvervsfaglige uddannelser";2018;0,2321;1
"Hele landet";"Erhvervsfaglige uddannelser";2019;0,2197;1
"Hele landet";"Erhvervsfaglige uddannelser";2020;0,2075;1
"Hele landet";"Erhvervsfaglige uddannelser";2021;0,2036;1
"Hele landet";"Erhvervsfaglige uddannelser";2022;0,2112;1
"Hele landet";"Erhvervsfaglige uddannelser";2023;0,2106;1
"Hele landet";"Erhvervsfaglige uddannelser";2024;0,2149;1
"Aarhus";"Erhvervsfaglige uddannelser";2017;0,314;2
"Aarhus";"Erhvervsfaglige uddannelser";2018;0,2984;2
"Aarhus";"Erhvervsfaglige uddannelser";2019;0,2818;2
"Aarhus";"Erhvervsfaglige uddannelser";2020;0,2629;2
"Aarhus";"Erhvervsfaglige uddannelser";2021;0,2609;2
"Aarhus";"Erhvervsfaglige uddannelser";2022;0,2814;2
"Aarhus";"Erhvervsfaglige uddannelser";2023;0,2728;2
"Aarhus";"Erhvervsfaglige uddannelser";2024;0,2893;2
"Odense";"Erhvervsfaglige uddannelser";2017;0,304;3
"Odense";"Erhvervsfaglige uddannelser";2018;0,2836;3
"Odense";"Erhvervsfaglige uddannelser";2019;0,269;3
"Odense";"Erhvervsfaglige uddannelser";2020;0,2539;3
"Odense";"Erhvervsfaglige uddannelser";2021;0,2427;3
"Odense";"Erhvervsfaglige uddannelser";2022;0,2566;3
"Odense";"Erhvervsfaglige uddannelser";2023;0,259;3
"Odense";"Erhvervsfaglige uddannelser";2024;0,265;3
"Aalborg";"Erhvervsfaglige uddannelser";2017;0,2657;4
"Aalborg";"Erhvervsfaglige uddannelser";2018;0,248;4
"Aalborg";"Erhvervsfaglige uddannelser";2019;0,2463;4
"Aalborg";"Erhvervsfaglige uddannelser";2020;0,236;4
"Aalborg";"Erhvervsfaglige uddannelser";2021;0,227;4
"Aalborg";"Erhvervsfaglige uddannelser";2022;0,2329;4
"Aalborg";"Erhvervsfaglige uddannelser";2023;0,2248;4
"Aalborg";"Erhvervsfaglige uddannelser";2024;0,2274;4
"Esbjerg";"Erhvervsfaglige uddannelser";2017;0,2346;5
"Esbjerg";"Erhvervsfaglige uddannelser";2018;0,2255;5
"Esbjerg";"Erhvervsfaglige uddannelser";2019;0,2071;5
"Esbjerg";"Erhvervsfaglige uddannelser";2020;0,1942;5
"Esbjerg";"Erhvervsfaglige uddannelser";2021;0,1945;5
"Esbjerg";"Erhvervsfaglige uddannelser";2022;0,2116;5
"Esbjerg";"Erhvervsfaglige uddannelser";2023;0,2191;5
"Esbjerg";"Erhvervsfaglige uddannelser";2024;0,2182;5
