"Status";"Foraeldre_uddannelse";"Procent";"Procent_pct";"Foraeldre_Order"
"Fuldført uddannelse";"Grundskole";0,4465;44,65;1
"Igangværende uddannelse";"Grundskole";0,1651;16,51;1
"Afbrudt uddannelse";"Grundskole";0,1569;15,69;1
"Ingen registreret uddannelse";"Grundskole";0,2315;23,15;1
"Fuldført uddannelse";"Gymnasiale uddannelser";0,6328;63,28;2
"Igangværende uddannelse";"Gymnasiale uddannelser";0,1694;16,94;2
"Afbrudt uddannelse";"Gymnasiale uddannelser";0,1015;10,15;2
"Ingen registreret uddannelse";"Gymnasiale uddannelser";0,0963;9,63;2
"Fuldført uddannelse";"Erhvervsfaglige uddannelser";0,624;62,4;3
"Igangværende uddannelse";"Erhvervsfaglige uddannelser";0,1819;18,19;3
"Afbrudt uddannelse";"Erhvervsfaglige uddannelser";0,0965;9,65;3
"Ingen registreret uddannelse";"Erhvervsfaglige uddannelser";0,0976;9,76;3
"Fuldført uddannelse";"Korte videregående uddannelser";0,6838;68,38;4
"Igangværende uddannelse";"Korte videregående uddannelser";0,1958;19,58;4
"Afbrudt uddannelse";"Korte videregående uddannelser";0,0632;6,32;4
"Ingen registreret uddannelse";"Korte videregående uddannelser";0,0572;5,72;4
"Fuldført uddannelse";"Bacheloruddannelser";0,7033;70,33;5
"Igangværende uddannelse";"Bacheloruddannelser";0,2017;20,17;5
"Afbrudt uddannelse";"Bacheloruddannelser";0,0482;4,82;5
"Ingen registreret uddannelse";"Bacheloruddannelser";0,0468;4,68;5
"Fuldført uddannelse";"Lange videregående uddannelser";0,7249;72,49;6
"Igangværende uddannelse";"Lange videregående uddannelser";0,2045;20,45;6
"Afbrudt uddannelse";"Lange videregående uddannelser";0,0353;3,53;6
"Ingen registreret uddannelse";"Lange videregående uddannelser";0,0353;3,53;6
